Provider.ID,Hospital.Name,Address,City,State,ZIP.Code,County.Name,Phone.Number,Location,Number.of.Completed.Surveys,Survey.Response.Rate.Percent,Measure.Start.Date,Measure.End.Date,H_CLEAN_HSP_A_P,H_CLEAN_HSP_SN_P,H_CLEAN_HSP_U_P,H_COMP_1_A_P,H_COMP_1_SN_P,H_COMP_1_U_P,H_COMP_2_A_P,H_COMP_2_SN_P,H_COMP_2_U_P,H_COMP_3_A_P,H_COMP_3_SN_P,H_COMP_3_U_P,H_COMP_5_A_P,H_COMP_5_SN_P,H_COMP_5_U_P,H_COMP_6_N_P,H_COMP_6_Y_P,H_COMP_7_A,H_COMP_7_D_SD,H_COMP_7_SA,H_HSP_RATING_0_6,H_HSP_RATING_7_8,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_QUIET_HSP_SN_P,H_QUIET_HSP_U_P,H_RECMND_DN,H_RECMND_DY,H_RECMND_PY,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,H_CLEAN_STAR_RATING,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_HSP_RATING_STAR_RATING,H_QUIET_STAR_RATING,H_RECMND_STAR_RATING,H_STAR_RATING,RCMND
260057,CAMERON REGIONAL MEDICAL CENTER,1600 E EVERGREEN,CAMERON,MO,64429,CLINTON,8166322101,"1600 E EVERGREEN
CAMERON, MO
(39.731504, -94.218308)",225,26,10/1/2016,9/30/2017,75,8,17,76,5,19,74,7,19,64,11,25,57,20,23,11,89,46,5,49,9,30,61,56,7,37,9,57,34,88,90,89,84,76,89,81,86,82,82,3,3,2,3,2,4,3,2,3,2,3,NO
260062,SAINT LUKES NORTH HOSPITAL,5830 N W BARRY ROAD,KANSAS CITY,MO,64154,PLATTE,8168916000,"5830 N W BARRY ROAD
KANSAS CITY, MO
(39.246883, -94.647898)",516,26,10/1/2016,9/30/2017,73,8,19,79,4,17,81,3,16,62,9,29,68,14,18,8,92,40,5,55,6,17,77,63,8,29,4,75,21,88,92,92,84,82,92,83,90,85,90,3,4,3,3,4,5,4,4,3,4,4,YES
260091,SSM HEALTH ST MARY'S HOSPITAL - ST LOUIS,6420 CLAYTON RD,RICHMOND HEIGHTS,MO,63117,SAINT LOUIS,3147688000,"6420 CLAYTON RD
RICHMOND HEIGHTS, MO
(38.633943, -90.310138)",660,14,10/1/2016,9/30/2017,63,12,25,78,5,17,77,5,18,56,14,30,59,25,16,16,84,46,7,47,8,23,69,58,12,30,4,71,25,82,91,90,80,73,84,79,88,81,88,2,3,3,2,2,2,2,3,3,3,2,YES
260052,MERCY HOSPITAL WASHINGTON,901 EAST 5TH STREET,WASHINGTON,MO,63090,FRANKLIN,6362398000,"901 EAST 5TH STREET
WASHINGTON, MO
(38.5522, -91.002023)",1325,36,10/1/2016,9/30/2017,68,9,23,77,5,18,79,5,16,63,10,27,62,21,17,10,90,43,5,52,7,21,72,62,9,29,5,70,25,85,90,91,84,77,90,82,88,84,88,2,3,3,3,3,4,3,3,3,3,3,YES
260050,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,MO,64468,NODAWAY,6605622600,"2016 SOUTH MAIN ST
MARYVILLE, MO
(40.326053, -94.874038)",210,31,10/1/2016,9/30/2017,83,3,14,86,2,12,84,2,14,74,6,20,68,15,17,12,88,36,3,61,5,10,85,74,3,23,3,76,21,93,95,93,89,82,88,85,92,90,91,4,5,4,4,4,3,4,4,4,4,4,YES
260064,SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN,620 E MONROE,MEXICO,MO,65265,AUDRAIN,5735825000,"620 E MONROE
MEXICO, MO
(39.172921, -91.877238)",284,26,10/1/2016,9/30/2017,80,4,16,83,2,15,82,4,14,75,3,22,67,16,17,13,87,44,4,52,5,28,67,58,8,34,5,68,27,92,93,93,91,81,87,82,89,83,87,4,4,4,5,4,3,3,3,3,3,4,YES
260059,MERCY HOSPITAL LEBANON,100 HOSPITAL DRIVE,LEBANON,MO,65536,LACLEDE,4175336100,"100 HOSPITAL DRIVE
LEBANON, MO
(37.681437, -92.635875)",557,38,10/1/2016,9/30/2017,72,8,20,74,6,20,84,4,12,67,9,24,62,20,18,12,88,44,5,51,8,24,68,55,14,31,6,65,29,88,89,93,86,77,88,82,87,79,86,3,2,4,3,3,3,3,3,2,3,3,YES
260085,ST JOSEPH MEDICAL CENTER,1000 CARONDELET DR,KANSAS CITY,MO,64114,JACKSON,8169424000,"1000 CARONDELET DR
KANSAS CITY, MO
(38.935419, -94.601568)",391,27,10/1/2016,9/30/2017,73,10,17,74,8,18,78,6,16,53,18,29,57,27,16,17,83,46,7,47,12,22,66,59,11,30,8,64,28,87,88,90,78,71,83,79,85,82,84,3,2,3,1,1,2,2,2,3,2,2,NO
260094,COX MEDICAL CENTER BRANSON,"525 BRANSON LANDING BLVD, PO BOX 650",BRANSON,MO,65615,TANEY,4173357000,"525 BRANSON LANDING BLVD, PO BOX 650
BRANSON, MO
(36.650541, -93.220376)",846,25,10/1/2016,9/30/2017,80,6,14,81,4,15,80,5,15,69,7,24,62,19,19,14,86,41,5,54,7,22,71,60,10,30,5,72,23,91,92,91,87,77,86,82,88,83,88,4,4,3,4,3,3,3,3,3,3,3,YES
260078,OZARKS MEDICAL CENTER,1100 KENTUCKY AVE,WEST PLAINS,MO,65775,HOWELL,4172569111,"1100 KENTUCKY AVE
WEST PLAINS, MO
(36.737992, -91.875552)",529,23,10/1/2016,9/30/2017,70,9,21,80,4,16,82,4,14,71,5,24,65,15,20,12,88,44,6,50,10,22,68,59,11,30,5,63,32,87,92,93,88,81,88,81,87,82,86,3,4,4,4,4,3,3,3,3,3,4,YES
